Geneid	Chr	Start	End	Strand	Length	./Nvie_BF1_mRNA_sorted.bam	./Nvie_BF2_mRNA_sorted.bam	./Nvie_BF3_mRNA_sorted.bam	./Nvie_BF4_mRNA_sorted.bam	./Nvie_BF5_mRNA_sorted.bam	./Nvie_ctrl1_mRNA_sorted.bam	./Nvie_ctrl2_mRNA_sorted.bam	./Nvie_ctrl3_mRNA_sorted.bam	./Nvie_ctrl4_mRNA_sorted.bam	./Nvie_ctrl5_mRNA_sorted.bam
NVIE_016020	CP007536.1	1367409	1368866	-	1458	7451	11856	8975	7178	12368	21696	17797	18894	16169	14660
NVIE_016030	CP007536.1	1368881	1369291	-	411	5581	7985	7350	6164	9301	14880	13642	13364	12695	9834
NVIE_016040	CP007536.1	1369352	1369987	-	636	0	28	18	8	31	70	26	35	23	9
NVIE_016050	CP007536.1	1370097	1370477	+	381	3333	3764	3619	5015	4467	8382	7450	7945	6463	4200
NVIE_016060	CP007536.1	1370479	1370688	+	210	3768	5148	4557	4612	5710	8944	6686	8122	5903	5483
NVIE_016070	CP007536.1	1370698	1372353	-	1656	3509	5821	5671	3529	6168	7817	6845	6812	6737	4792
NVIE_016080	CP007536.1	1372346	1373101	-	756	10107	14508	14271	8997	14551	19653	17820	15747	12171	12079
NVIE_016090	CP007536.1	1373344	1374021	+	678	576	1226	1221	754	1264	1478	1391	1238	908	1001
NVIE_016100	CP007536.1	1374243	1374635	+	393	68	64	88	102	68	114	58	67	52	34
NVIE_016110	CP007536.1	1374784	1375620	-	837	616	768	854	721	1003	1041	1103	950	774	588
NVIE_016120	CP007536.1	1375667	1376806	-	1140	2826	3828	3878	2818	4276	5138	4298	4663	4871	3050
NVIE_016130	CP007536.1	1376799	1378172	-	1374	49945	59903	65698	48846	56547	61973	58909	52645	53007	39719
NVIE_016140	CP007536.1	1378181	1378876	-	696	766	1153	853	686	1249	2331	1982	2178	1765	1868
NVIE_016150	CP007536.1	1378953	1379792	+	840	4341	5908	5175	3657	4041	4530	5319	4026	3915	3121
NVIE_016160	CP007536.1	1379789	1382926	+	3138	17188	26426	25429	17158	23439	16140	15494	14632	12869	10534
NVIE_016170	CP007536.1	1382961	1384010	+	1050	5125	7822	7551	4853	7762	9226	8090	8504	7172	5900
NVIE_016180	CP007536.1	1384007	1385455	+	1449	5153	6131	6489	4092	6320	6254	6290	5358	6397	3917
NVIE_016190	CP007536.1	1385590	1385979	-	390	10807	16665	15522	12631	16920	28715	23967	23672	20617	17335
NVIE_016200	CP007536.1	1386058	1386222	-	165	1181	1403	1865	2565	2030	1899	2497	1934	1511	1182
NVIE_016210	CP007536.1	1386284	1386892	-	609	9842	14735	13589	10242	14038	10619	9371	7988	5980	5752
NVIE_016220	CP007536.1	1387029	1387982	-	954	5318	8490	6240	4792	7674	15002	12556	13492	9156	10617
NVIE_016230	CP007536.1	1388099	1389067	+	969	4068	5190	5281	3897	4786	6446	5904	5116	4728	3501
NVIE_016240	CP007536.1	1389330	1390724	+	1395	6228	8860	10030	7439	8843	6882	7085	6645	6287	4472
NVIE_016250	CP007536.1	1391036	1391155	+	120	54	77	120	71	147	271	235	237	196	136
NVIE_016260	CP007536.1	1391343	1392404	-	1062	10034	14491	11887	10305	14978	19022	16965	18561	18600	12202
NVIE_016270	CP007536.1	1392486	1392833	+	348	132	268	214	178	264	223	232	238	152	167
NVIE_016280	CP007536.1	1392835	1393230	+	396	2516	4070	4719	2576	3915	4816	4242	4104	2951	2889
NVIE_016290	CP007536.1	1393235	1394620	-	1386	7073	10887	8195	5853	10696	17229	14567	15744	13231	12264
NVIE_016300	CP007536.1	1394682	1395269	-	588	112	262	235	261	287	189	214	297	230	142
NVIE_016310	CP007536.1	1395331	1395798	-	468	29	41	51	53	77	31	33	36	37	43
NVIE_016320	CP007536.1	1395974	1396924	-	951	217	353	409	320	278	185	165	108	142	86
NVIE_016330	CP007536.1	1396965	1397675	-	711	195	186	175	276	197	40	61	41	60	39
NVIE_016340	CP007536.1	1397861	1398316	+	456	194	273	272	209	463	485	498	424	381	328
NVIE_016350	CP007536.1	1398482	1399153	-	672	163	183	212	165	234	106	113	142	100	48
NVIE_016360	CP007536.1	1399227	1399700	-	474	163	278	285	182	287	491	537	484	356	288
NVIE_016370	CP007536.1	1399699	1400637	+	939	5735	9114	5997	5799	9686	18371	14583	17849	13290	12595
NVIE_016380	CP007536.1	1400688	1401146	+	459	14789	12017	11322	11898	11473	23279	19842	16914	17772	12930
NVIE_016390	CP007536.1	1401203	1401754	-	552	99	195	213	150	222	261	214	215	202	124
NVIE_016400	CP007536.1	1401842	1402567	-	726	205	155	247	210	222	133	164	141	100	105
NVIE_016410	CP007536.1	1402719	1403654	+	936	482	716	983	918	959	646	720	679	523	389
NVIE_016420	CP007536.1	1403707	1404297	-	591	658	1090	1031	638	515	643	643	562	681	527
NVIE_016430	CP007536.1	1404390	1405274	-	885	881	1449	1823	1298	1318	1053	1106	1183	814	664
NVIE_016440	CP007536.1	1405474	1406337	-	864	501	603	601	531	732	1145	935	997	868	745
NVIE_016450	CP007536.1	1406344	1406736	-	393	384	467	455	610	554	721	624	678	582	473
NVIE_016460	CP007536.1	1406815	1407423	-	609	2336	3405	3994	2752	2864	1648	1583	1449	1113	1113
NVIE_016470	CP007536.1	1407636	1408097	-	462	3955	6826	7058	4965	8485	10425	8690	8870	6354	6861
NVIE_016480	CP007536.1	1408054	1409235	-	1182	13348	19493	18482	14077	22994	30052	23373	24598	20391	17732
NVIE_1688	CP007536.1	1409232	1410035	-	804	7710	12207	12049	8608	14426	17848	13783	15041	12248	11375
NVIE_016490	CP007536.1	1410032	1411084	-	1053	27805	42669	43623	31440	48258	60669	47485	53071	42587	41577
NVIE_016500	CP007536.1	1411229	1412092	-	864	15073	22468	18010	14956	26027	39114	31423	35010	26907	26237
NVIE_016510	CP007536.1	1412099	1412272	-	174	854	660	854	1304	1091	1752	1339	1088	1332	665
NVIE_016520	CP007536.1	1412289	1413521	-	1233	43472	60037	70103	45819	69310	83506	67740	68146	58527	56044
NVIE_016530	CP007536.1	1413574	1414263	+	690	930	1317	1098	1018	1309	1648	1738	1687	1290	1459
NVIE_016540	CP007536.1	1414409	1414567	+	159	81	93	108	93	156	157	127	102	87	92
NVIE_016550	CP007536.1	1414570	1414758	-	189	269	507	549	713	680	525	667	736	573	414
NVIE_016560	CP007536.1	1414922	1415833	+	912	4436	6268	5594	3766	4518	4714	4673	5050	4377	3736
NVIE_016570	CP007536.1	1415823	1416269	-	447	1000	1586	1656	835	1539	2255	2170	1694	1655	1452
NVIE_016580	CP007536.1	1416330	1416668	-	339	658	852	884	905	983	923	852	847	830	564
NVIE_016590	CP007536.1	1416826	1417374	-	549	696	594	1056	1702	1150	1175	1035	1107	981	628
NVIE_016600	CP007536.1	1417579	1418394	-	816	582	875	812	587	934	1054	1057	1127	884	888
NVIE_t0250	CP007536.1	1418528	1418604	-	77	20	39	28	25	54	119	130	118	69	84
NVIE_016610	CP007536.1	1418693	1418800	+	108	14	8	4	32	5	32	27	22	20	6
NVIE_016620	CP007536.1	1418901	1419176	+	276	1580	2356	2297	1951	2469	3072	3055	3282	2392	2140
NVIE_t0260	CP007536.1	1419228	1419331	+	104	285	338	366	498	641	934	1262	896	731	588
NVIE_016630	CP007536.1	1419388	1419723	+	336	86688	195308	114478	71782	95476	129770	158655	173242	132286	154146
NVIE_016631	CP007536.1	1419651	1419751	-	101	3855	5640	7159	3316	4374	3856	12829	6336	5325	1856
NVIE_016640	CP007536.1	1419811	1420044	-	234	908	825	1674	1484	846	154	152	101	175	95
NVIE_016650	CP007536.1	1420031	1420438	-	408	1693	2297	3602	2521	2202	466	479	440	363	351
NVIE_016660	CP007536.1	1420669	1421559	-	891	27843	41536	33281	26220	45766	76523	68033	68077	63151	51089
NVIE_016670	CP007536.1	1421566	1422276	-	711	17191	21185	20103	18074	26691	52716	45869	41754	45149	32485
NVIE_016680	CP007536.1	1422562	1423857	+	1296	579	734	743	694	757	902	698	772	591	467
NVIE_016690	CP007536.1	1424086	1424976	-	891	3211	5463	4575	3997	5763	5609	5357	5862	4469	4041
NVIE_016700	CP007536.1	1424948	1425478	-	531	2348	3608	3148	2475	3901	4578	4083	4099	3242	2989
NVIE_016710	CP007536.1	1425429	1426106	-	678	3553	5103	4771	4974	5873	6641	6431	6931	5406	4648
NVIE_016720	CP007536.1	1426114	1426305	-	192	72	91	114	258	174	138	209	222	193	115
NVIE_016730	CP007536.1	1426377	1427399	-	1023	7264	10859	10800	7932	13058	14495	13155	13652	10408	10358
NVIE_016740	CP007536.1	1427444	1431052	-	3609	2358959	3604701	3781040	3179141	4983473	5334374	4801006	5657459	4420686	4168432
NVIE_1714	CP007536.1	1431366	1431431	-	66	0	2	2	0	16	27	1	7	4	4
NVIE_016750	CP007536.1	1431493	1431624	-	132	15	32	16	20	22	50	53	75	44	29
NVIE_016760	CP007536.1	1431755	1432624	-	870	122	178	242	135	229	247	265	251	179	145
NVIE_016770	CP007536.1	1432823	1433044	+	222	100	175	155	277	156	342	337	318	272	245
NVIE_016780	CP007536.1	1433048	1433290	-	243	1733	3257	2751	2956	3018	3877	3400	4270	2828	2527
NVIE_016790	CP007536.1	1433537	1435636	-	2100	4290	4954	4370	3478	4600	5186	4854	4168	4911	3365
NVIE_016800	CP007536.1	1435633	1436790	-	1158	3787	5717	4933	3721	5699	7028	5712	6159	5524	4625
NVIE_016810	CP007536.1	1437106	1437363	-	258	125	123	72	205	158	311	211	251	278	171
NVIE_1722	CP007536.1	1437360	1437590	-	231	30	34	28	82	43	66	32	78	77	33
NVIE_016820	CP007536.1	1437618	1437887	-	270	30	32	50	66	47	149	117	165	140	101
NVIE_016830	CP007536.1	1437932	1439497	-	1566	5114	7394	6598	5456	8251	11179	9207	9136	9493	6943
NVIE_016840	CP007536.1	1439490	1440329	-	840	1687	1709	1820	1905	1857	2510	1905	1900	2332	1274
NVIE_016850	CP007536.1	1440371	1441678	-	1308	9426	15288	15090	9638	13832	15434	14307	13706	11198	10280
NVIE_016860	CP007536.1	1441767	1444457	+	2691	15094	19927	19674	15289	20832	21572	20450	20283	16453	13945
NVIE_016870	CP007536.1	1444616	1445431	+	816	3988	6613	5746	4234	5836	7258	6793	6805	5296	5003
NVIE_016880	CP007536.1	1445596	1445925	+	330	88	274	163	136	305	465	426	495	319	422
NVIE_016890	CP007536.1	1445922	1446245	-	324	693	1088	888	1223	1108	2239	2045	2252	1646	1478
NVIE_016900	CP007536.1	1446396	1448297	-	1902	11327	15443	14256	13418	18499	28436	23848	26545	22580	18030
NVIE_016910	CP007536.1	1448339	1448545	-	207	1003	1025	1469	1662	1571	2624	1901	2377	2036	1375
NVIE_016920	CP007536.1	1448630	1448758	+	129	78	108	142	174	181	306	319	231	178	144
NVIE_016930	CP007536.1	1448967	1449197	-	231	70	106	57	88	116	189	223	252	196	181
NVIE_016940	CP007536.1	1449766	1450386	-	621	329	497	505	565	616	624	653	716	595	336
NVIE_016950	CP007536.1	1450396	1451211	-	816	385	529	591	339	683	378	443	497	382	277
NVIE_1735	CP007536.1	1451259	1451432	-	174	0	40	17	17	7	25	29	22	29	37
NVIE_016960	CP007536.1	1451465	1452256	-	792	8632	9594	12689	14647	13314	20344	22035	17298	14106	11233
NVIE_016970	CP007536.1	1452743	1453705	+	963	247	329	382	327	356	327	346	324	308	227
NVIE_016980	CP007536.1	1454053	1454571	+	519	243	240	281	271	363	407	342	450	403	314
NVIE_1739	CP007536.1	1454632	1454790	-	159	52	57	48	93	126	53	53	36	54	30
NVIE_016990	CP007536.1	1454735	1455037	-	303	31	40	28	16	28	14	54	19	28	21
NVIE_1741	CP007536.1	1455106	1455192	+	87	93	124	133	171	107	105	214	193	145	190
NVIE_017000	CP007536.1	1455221	1455565	-	345	518	574	656	658	673	478	433	328	374	198
NVIE_017010	CP007536.1	1455635	1455940	-	306	2875	4386	4869	3470	5510	4607	4594	4547	2784	2988
NVIE_017020	CP007536.1	1455912	1456559	-	648	3710	4985	4893	3308	6018	8025	7754	6727	6117	4837
NVIE_017030	CP007536.1	1456595	1456762	-	168	665	1013	1014	918	1284	1604	1549	1432	1166	928
NVIE_017040	CP007536.1	1456838	1457194	+	357	1908	2848	3334	3228	3070	1875	2217	2149	1889	1145
NVIE_017050	CP007536.1	1457235	1457495	+	261	5226	7358	6920	5831	7838	13060	11900	12256	8321	8279
NVIE_017060	CP007536.1	1457509	1458000	-	492	5588	7922	7324	5392	8726	13605	10846	11842	8483	8176
NVIE_017070	CP007536.1	1458078	1459082	+	1005	4510	4763	4083	3806	4988	8199	5954	7048	8524	4820
NVIE_017080	CP007536.1	1459079	1459399	-	321	178	346	236	222	350	556	391	569	370	388
NVIE_017090	CP007536.1	1459461	1460159	+	699	3520	4049	3498	3084	4372	6776	6029	6254	5858	4494
NVIE_017100	CP007536.1	1460152	1460916	+	765	992	1656	1218	1011	1534	2409	2064	2005	2053	1723
NVIE_017110	CP007536.1	1460885	1461322	-	438	1648	2127	1923	1410	2170	3138	2438	2416	1975	1638
NVIE_017120	CP007536.1	1461683	1461859	-	177	205	193	218	315	190	371	354	336	369	168
NVIE_017130	CP007536.1	1461904	1463088	-	1185	18447	25354	22353	14761	21380	25490	27387	23843	26573	15974
NVIE_017140	CP007536.1	1463197	1463793	-	597	3981	4506	5545	3578	4662	5018	4641	3670	4864	2680
NVIE_1757	CP007536.1	1463790	1464242	-	453	22513	32742	37720	25705	31011	25776	23476	22903	18273	16983
NVIE_017150	CP007536.1	1464348	1464716	-	369	3304	4978	5626	4897	5190	3978	3249	3800	2970	2554
NVIE_017160	CP007536.1	1464789	1466312	-	1524	37810	60475	54120	39655	56936	75779	68655	67471	63836	50734
NVIE_017170	CP007536.1	1466663	1467460	-	798	789	1207	1334	1113	1265	1670	1500	1473	1095	1027
NVIE_017180	CP007536.1	1467587	1468156	-	570	2295	3075	4326	3248	3313	2379	2732	2191	1756	1479
NVIE_017190	CP007536.1	1468153	1468917	-	765	1147	1623	1245	1364	2206	4184	2939	4133	3128	2799
NVIE_017200	CP007536.1	1468890	1469336	-	447	226	365	249	277	460	655	577	590	454	475
NVIE_017210	CP007536.1	1469469	1470056	+	588	3388	3652	2681	3587	4111	7506	6142	8134	6213	5208
NVIE_017220	CP007536.1	1470057	1470851	+	795	4240	5685	4864	3817	7450	11956	9550	9838	9396	6994
NVIE_017230	CP007536.1	1470843	1471154	-	312	882	991	755	874	1151	1639	1119	1346	1339	900
NVIE_017240	CP007536.1	1471160	1471567	-	408	2876	3665	3250	3856	4609	6367	5819	6028	5686	3433
NVIE_1768	CP007536.1	1471602	1471961	-	360	2062	2786	2991	2151	3505	5107	4438	4314	3605	2940
NVIE_017250	CP007536.1	1471967	1472458	-	492	3642	5722	4934	4122	5997	8470	7483	7617	5612	5058
NVIE_1770	CP007536.1	1472831	1472896	-	66	0	2	2	0	4	0	0	0	0	0
NVIE_017260	CP007536.1	1472916	1473203	+	288	8	24	21	43	36	27	33	17	39	23
NVIE_017270	CP007536.1	1473367	1474269	-	903	2315	2919	2684	2279	2986	4529	4062	3916	3884	3006
NVIE_017280	CP007536.1	1474305	1474940	+	636	1111	1427	1171	1193	1495	1570	1116	1654	1341	941
NVIE_017290	CP007536.1	1475086	1475493	+	408	2988	3463	3595	3073	4391	5126	4713	3699	2979	2574
NVIE_017300	CP007536.1	1479024	1479617	-	594	126	135	150	140	187	259	162	228	182	144
NVIE_017310	CP007536.1	1479614	1479910	-	297	319	344	290	375	436	377	369	477	320	364
NVIE_017320	CP007536.1	1479907	1480863	-	957	1640	2535	2499	1636	2716	2792	2481	2483	2658	1802
NVIE_017330	CP007536.1	1480860	1481507	-	648	3017	4124	3703	2483	4354	6226	5875	5464	3947	4295
NVIE_017340	CP007536.1	1481495	1483681	-	2187	7338	10401	9505	7939	11798	14760	13774	14042	10132	10090
NVIE_1781	CP007536.1	1483665	1484408	-	744	9947	15889	14980	10476	18525	21647	19823	20121	14980	14756
NVIE_017350	CP007536.1	1484408	1485349	-	942	23629	38990	34435	26335	42669	49762	41408	45503	31812	32600
NVIE_017360	CP007536.1	1485346	1487055	-	1710	12780	18673	18104	16908	22452	29642	28366	29501	21769	19170
NVIE_017370	CP007536.1	1487135	1487749	-	615	1172	1158	1167	1551	1384	1974	1917	1921	1979	1014
NVIE_017380	CP007536.1	1487760	1488617	-	858	1099	1265	1298	1235	1401	2414	2062	2070	2000	1411
NVIE_017390	CP007536.1	1488623	1488925	-	303	361	302	341	453	453	588	557	590	529	360
NVIE_017400	CP007536.1	1488977	1489828	-	852	4615	6049	5703	4288	6325	9529	7981	8203	8774	5880
NVIE_017410	CP007536.1	1489907	1490437	+	531	5670	6031	4712	4579	4459	6299	6053	6051	5503	4812
NVIE_017420	CP007536.1	1490430	1491698	-	1269	5231	6266	4903	3267	5081	9786	8469	6990	7225	6102
NVIE_1790	CP007536.1	1491670	1491735	+	66	0	0	0	2	0	1	3	0	0	0
NVIE_017430	CP007536.1	1491756	1493345	+	1590	13555	20194	18510	14460	21959	28475	23288	25045	18792	17855
NVIE_017440	CP007536.1	1493480	1494136	+	657	1793	2370	2288	2237	2744	3818	3768	3434	2956	2626
NVIE_017450	CP007536.1	1494133	1494843	-	711	1838	2780	1928	1478	2899	4835	3792	4614	3537	3500
NVIE_017460	CP007536.1	1494785	1496104	-	1320	10725	15983	14236	10287	16542	26480	20802	21445	24890	16478
NVIE_017470	CP007536.1	1496263	1496556	+	294	222	199	237	196	220	407	308	347	481	214
NVIE_017480	CP007536.1	1496617	1497183	+	567	5740	8110	6520	5337	7624	10847	9428	9827	10568	6654
NVIE_017490	CP007536.1	1497180	1497596	+	417	919	1143	1056	1064	1331	1587	1452	1481	1167	1007
NVIE_017500	CP007536.1	1497682	1498287	+	606	11718	18992	15369	10688	16270	26927	20971	23812	16281	18565
NVIE_017510	CP007536.1	1498327	1499193	+	867	6543	8347	8450	6626	8641	9905	9240	9152	7970	6108
NVIE_017520	CP007536.1	1499232	1499846	+	615	5568	8793	7087	5901	7754	8287	7943	8584	7091	5886
NVIE_017530	CP007536.1	1499861	1500493	-	633	4845	7160	7035	5215	7038	5938	4625	5464	5481	3820
NVIE_017540	CP007536.1	1500557	1501705	+	1149	5366	8158	5693	3585	5117	7534	6883	6128	6888	5428
NVIE_017550	CP007536.1	1501689	1502864	-	1176	14498	22401	26707	15188	18074	14586	16788	14291	12538	10007
NVIE_017560	CP007536.1	1503006	1503506	+	501	1673	2066	1452	1876	2151	2947	2152	2717	2484	1919
NVIE_017570	CP007536.1	1503507	1505171	-	1665	9443	10773	12787	8349	11473	8169	6244	6780	8412	4947
NVIE_017580	CP007536.1	1505184	1505399	+	216	312	342	342	317	343	339	279	386	352	183
NVIE_017590	CP007536.1	1505446	1505664	+	219	1337	1781	1497	1013	1872	3495	3451	3092	2262	2403
NVIE_017600	CP007536.1	1505654	1506502	-	849	719	1250	1070	905	1147	1721	1432	1692	1773	1062
NVIE_017610	CP007536.1	1506504	1508321	-	1818	8396	12668	9804	7614	11623	15165	12665	14308	11850	10200
NVIE_1810	CP007536.1	1508285	1508491	-	207	17	11	4	0	8	13	15	7	6	4
NVIE_017620	CP007536.1	1508605	1508745	+	141	11	61	30	40	36	248	197	201	136	199
NVIE_017630	CP007536.1	1508746	1509333	+	588	24	22	21	44	16	50	34	36	46	32
NVIE_r0030	CP007536.1	1509356	1509471	+	116	0	0	0	0	0	0	0	0	0	0
NVIE_017640	CP007536.1	1509485	1510057	-	573	2266	3201	3009	2239	3407	4539	3743	3544	3245	2552
NVIE_017650	CP007536.1	1510066	1511619	-	1554	12411	19645	13549	9517	11882	13795	13557	12978	14731	10734
NVIE_017660	CP007536.1	1511662	1512093	-	432	1359	1303	1249	1425	1259	1424	1266	1171	1086	788
NVIE_017670	CP007536.1	1512167	1513879	+	1713	37281	37470	33656	25232	31265	52236	44220	42428	46475	33049
NVIE_017680	CP007536.1	1513866	1514846	+	981	16393	23423	18455	12381	20524	27099	22832	25485	30357	19608
NVIE_017690	CP007536.1	1514848	1515513	+	666	3473	4391	3339	3204	4963	7270	6540	6500	7128	4517
NVIE_017700	CP007536.1	1515510	1517114	-	1605	6524	8949	7705	6397	8582	13049	10599	11888	12738	8448
NVIE_017710	CP007536.1	1517101	1517931	-	831	4613	6815	5828	4656	7086	8979	7871	8573	10406	5880
NVIE_017720	CP007536.1	1518024	1518587	+	564	1279	1262	1547	1359	1776	2680	2289	1830	1527	1435
NVIE_017730	CP007536.1	1518598	1519974	-	1377	483256	592117	721813	488604	683808	214671	196969	202833	276949	125650
NVIE_017740	CP007536.1	1520136	1520471	+	336	21726	26775	30674	25595	26720	6565	6069	7174	5777	4658
NVIE_017750	CP007536.1	1520486	1521112	-	627	911	1457	1335	1154	1347	2399	2528	2538	1771	1685
NVIE_017760	CP007536.1	1521123	1521338	+	216	2335	2602	2652	3981	3344	1249	1369	1495	1330	766
NVIE_017770	CP007536.1	1521471	1521746	+	276	865	772	795	868	1050	2045	1970	1960	1450	1124
NVIE_017780	CP007536.1	1521961	1522440	-	480	225	371	376	295	448	396	416	426	305	255
NVIE_017800	CP007536.1	1522860	1523195	+	336	350	438	569	390	417	348	329	305	257	183
NVIE_017810	CP007536.1	1523202	1523543	+	342	222	319	351	307	357	180	141	180	136	104
NVIE_017820	CP007536.1	1523625	1524650	-	1026	443	612	667	501	628	450	506	517	492	264
NVIE_017830	CP007536.1	1524917	1525270	-	354	1435	1756	1357	1071	1478	1000	1329	1261	949	1015
NVIE_017840	CP007536.1	1525457	1526383	+	927	6750	9697	8489	5271	9525	16909	15451	13586	10558	11245
NVIE_017850	CP007536.1	1526422	1527447	-	1026	92	114	113	174	153	176	199	214	114	96
NVIE_017860	CP007536.1	1527558	1528568	-	1011	510	653	864	770	758	684	807	778	613	459
NVIE_017870	CP007536.1	1528517	1528675	-	159	0	0	0	0	0	0	0	0	0	0
NVIE_017880	CP007536.1	1528672	1529745	-	1074	361	335	326	185	440	528	473	471	434	369
NVIE_1836	CP007536.1	1529447	1529845	+	399	18	43	44	37	62	74	67	116	90	60
NVIE_017900	CP007536.1	1530142	1530432	+	291	90	72	96	145	83	99	173	120	87	90
NVIE_017910	CP007536.1	1530579	1531028	+	450	211	213	179	255	305	721	617	791	579	537
NVIE_017940	CP007536.1	1531344	1532081	+	738	2320	3520	3736	2702	3347	2924	2801	2631	2285	1977
NVIE_017950	CP007536.1	1532157	1533140	-	984	305	366	463	375	536	826	919	835	735	633
NVIE_017960	CP007536.1	1533412	1534293	+	882	56805	78780	100150	78284	96178	44192	42608	43816	36631	26002
NVIE_017980	CP007536.1	1534539	1535846	+	1308	1532	1986	2222	1225	2249	2488	2340	2129	1966	1486
NVIE_017990	CP007536.1	1535960	1536607	-	648	940	1035	1290	1062	1561	1423	1299	1428	851	1021
NVIE_018000	CP007536.1	1536739	1537188	+	450	63	103	55	81	128	70	120	102	62	40
NVIE_018010	CP007536.1	1537380	1538405	+	1026	594	738	1102	1061	824	569	950	612	485	401
NVIE_018020	CP007536.1	1538476	1540299	+	1824	1542	1945	2051	2027	2154	2279	2192	2108	1696	1386
NVIE_018030	CP007536.1	1540374	1540619	-	246	45	67	75	195	131	97	136	128	81	97
NVIE_018040	CP007536.1	1540795	1541634	-	840	1629	2310	2651	2482	2662	2175	2714	2457	1840	1580
NVIE_018050	CP007536.1	1541960	1542916	+	957	128	125	106	118	145	191	194	158	164	114
NVIE_018060	CP007536.1	1543147	1543812	-	666	8191	7726	10129	6195	6722	6002	5972	5369	6555	4155
NVIE_018080	CP007536.1	1544181	1544555	+	375	2878	4705	5244	4742	4323	2834	3322	3441	2777	2336
NVIE_018090	CP007536.1	1544807	1545889	+	1083	551	896	848	632	856	879	1005	761	611	672
NVIE_018100	CP007536.1	1545990	1546169	+	180	100	81	119	72	109	104	140	106	77	120
NVIE_018110	CP007536.1	1546578	1546811	+	234	882	1323	1152	1079	1289	1215	948	1073	882	679
NVIE_018120	CP007536.1	1546847	1547779	+	933	3104	4964	5333	4075	5241	4430	4033	3826	2691	2511
NVIE_018130	CP007536.1	1547805	1549103	+	1299	1158	1467	1629	1118	1515	1177	1072	1106	926	730
NVIE_018140	CP007536.1	1549230	1549427	+	198	254	301	270	332	277	341	465	495	346	306
NVIE_018150	CP007536.1	1549517	1549933	+	417	884	1313	1301	1171	1447	2652	2699	2507	1868	1610
NVIE_018160	CP007536.1	1549930	1550475	+	546	1252	1556	1870	1946	2182	4566	4380	3565	2781	2506
NVIE_018190	CP007536.1	1551155	1551769	-	615	284	550	481	357	506	484	690	736	563	433
NVIE_018200	CP007536.1	1551830	1552015	-	186	0	3	20	17	4	0	4	8	2	4
NVIE_t0270	CP007536.1	1552056	1552127	+	72	4	14	14	3	3	12	9	26	22	14
NVIE_018210	CP007536.1	1552138	1552873	-	736	458	829	792	606	784	1089	966	1213	743	635
NVIE_018230	CP007536.1	1553127	1553333	+	207	4	11	6	12	6	0	14	13	6	11
NVIE_018240	CP007536.1	1553509	1554258	-	750	475	588	662	618	925	1288	1203	1252	964	930
NVIE_018250	CP007536.1	1554522	1555055	-	534	3177	3857	3849	4082	5177	9793	8219	8028	6168	4576
NVIE_018260	CP007536.1	1555168	1555836	-	669	5132	6384	6948	6468	6092	4399	4092	4224	3413	2445
NVIE_018270	CP007536.1	1555897	1556328	-	432	6461	8420	6408	6845	9790	12861	11476	13806	10147	9220
NVIE_018280	CP007536.1	1556377	1556712	-	336	1623	2097	2229	2362	2747	3197	3032	2785	2070	1617
NVIE_018290	CP007536.1	1556723	1557214	-	492	2321	2096	1739	1380	2136	2964	2648	2841	3170	1932
NVIE_018300	CP007536.1	1557338	1558411	+	1074	3896	4613	4527	3676	5559	5286	4336	4642	4958	3715
NVIE_018310	CP007536.1	1558453	1558881	+	429	6971	9049	8936	7789	9404	11399	11413	11570	7937	9329
NVIE_018320	CP007536.1	1558884	1560026	+	1143	4188	6458	6024	4831	6379	7474	6588	7266	7584	4813
NVIE_018330	CP007536.1	1560001	1560516	+	516	403	368	350	461	335	525	380	427	351	243
NVIE_018340	CP007536.1	1560640	1561008	-	369	221	255	277	288	284	338	344	342	376	226
NVIE_018350	CP007536.1	1561024	1561500	-	477	1225	1592	2045	1354	1898	2298	2022	1749	1349	1225
NVIE_018360	CP007536.1	1561497	1561820	-	324	479	627	693	810	744	748	646	562	716	450
NVIE_018370	CP007536.1	1561848	1562522	-	675	2867	4364	4008	3080	4274	6650	6367	5595	4291	3951
NVIE_018380	CP007536.1	1562646	1564586	+	1941	4335	4933	3560	2454	4062	8766	6376	6923	6954	6567
NVIE_018390	CP007536.1	1564633	1567107	+	2475	9388	14767	10646	8750	14830	22909	18500	20655	16124	16038
NVIE_018400	CP007536.1	1567104	1567949	-	846	4014	3999	5126	2923	4001	5673	4440	3801	6297	2724
NVIE_018410	CP007536.1	1567946	1568824	-	879	1405	1924	2243	1509	1963	1964	1747	1695	1568	1280
NVIE_1884	CP007536.1	1568821	1569492	-	672	2552	4541	4696	3052	4233	5194	4595	4601	4097	3206
NVIE_018420	CP007536.1	1569516	1570154	-	639	6421	9199	9732	6240	8533	10441	8279	9171	8164	6337
NVIE_1886	CP007536.1	1570094	1570516	-	423	527	938	856	738	936	1530	1071	988	810	1038
NVIE_018430	CP007536.1	1570558	1570674	-	117	175	185	216	213	220	313	132	135	91	170
NVIE_018440	CP007536.1	1570701	1570883	-	183	157	156	172	189	127	153	72	84	114	112
NVIE_018450	CP007536.1	1571192	1571362	-	171	29	88	27	97	87	70	113	132	77	88
NVIE_018460	CP007536.1	1571633	1571827	+	195	20	16	20	10	22	23	28	29	19	10
NVIE_018470	CP007536.1	1571930	1573654	+	1725	2121	2507	3070	2705	2660	2291	2126	1952	1688	1235
